CBDesc,CB,Area_km2,Population_2010,Pop_km2,Neighborhoods
Manhattan CB 1,101,4.45,34420,7735,"Battery Park City, Financial District, TriBeCa"
Manhattan CB 2,102,4.01,93119,23222,"Chinatown, Greenwich Village, Little Italy, Lower East Side, NoHo, SoHo, West Village"
Manhattan CB 3,103,4.56,164407,36054,"Alphabet City, Chinatown, East Village, Lower East Side, Two Bridges"
Manhattan CB 4,104,5.41,87479,16170,"Chelsea, Clinton"
Manhattan CB 5,105,4.25,44028,10360,Midtown
Manhattan CB 6,106,3.55,136152,38353,"Gramercy Park, Kips Bay, Murray Hill, Peter Cooper Village, Stuyvesant Town, Sutton Place, Tudor City, Turtle Bay, Waterside Plaza"
Manhattan CB 7,107,5.46,207699,38040,"Lincoln Square, Manhattan Valley, Upper West Side"
Manhattan CB 8,108,5.13,217063,42312,"Lenox Hill, Roosevelt Island, Upper East Side, Yorkville"
Manhattan CB 9,109,3.91,111724,28574,"Hamilton Heights, Manhattanville, Morningside Heights"
Manhattan CB 10,110,3.63,107109,29507,"Harlem, Polo Grounds"
Manhattan CB 11,111,5.75,117743,20477,"East Harlem, Randall's Island, Spanish Harlem, Wards Island"
Manhattan CB 12,112,7.64,208414,27279,"Inwood, Washington Heights"
Bronx CB 1,201,7.17,91497,12761,"Melrose, Mott Haven, Port Morris"
Bronx CB 2,202,5.54,52246,9792,"Hunts Point, Longwood"
Bronx CB 3,203,4.07,79762,19598,"Claremont, Concourse Village, Crotona Park, Morrisania"
Bronx CB 4,204,5.28,146441,27735,"Concourse, High Bridge"
Bronx CB 5,205,3.55,128200,36145,"Fordham, Morris Heights, Mount Hope, University Heights"
Bronx CB 6,206,4.01,83268,20765,"Bathgate, Belmont, East Tremont, West Farms"
Bronx CB 7,207,4.84,139286,28778,"Bedford Park, Norwood, University Heights"
Bronx CB 8,208,8.83,101731,11521,"Fieldston, Kingsbridge, Kingsbridge Heights, Marble Hill, Riverdale, Spuyten Duyvil, Van Cortlandt Village"
Bronx CB 9,209,12.41,172298,13884,"Bronx River, Bruckner, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Unionport"
Bronx CB 10,210,16.76,120392,7183,"City Island, Co-op City, Locust Point, Pelham Bay, Silver Beach, Throgs Neck, Westchester Square"
Bronx CB 11,211,9.32,113232,12149,"Allerton, Bronxdale, Indian Village, Laconia, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest[3][4]"
Bronx CB 12,212,14.56,152344,10463,"Baychester, Edenwald, Eastchester, Fish Bay, Olinville, Wakefield, Williamsbridge, Woodlawn"
Brooklyn CB 1,301,12.82,160338,12507,"Greenpoint, Williamsburg"
Brooklyn CB 2,302,7.72,98620,12775,"Boerum Hill, Brooklyn Heights, Brooklyn Navy Yard, Clinton Hill, DUMBO, Fort Greene, Fulton Ferry, Fulton Mall, Vinegar Hill"
Brooklyn CB 3,303,7.67,143867,18757,"Bedford-Stuyvesant, Ocean Hill, Stuyvesant Heights"
Brooklyn CB 4,304,5.31,104358,19653,Bushwick
Brooklyn CB 5,305,14.61,173198,11855,"City Line, Cypress Hills, East New York, Highland Park, New Lots, Starrett City"
Brooklyn CB 6,306,9.01,104054,11549,"Carroll Gardens, Cobble Hill, Gowanus, Park Slope, Red Hook"
Brooklyn CB 7,307,10.96,120063,10955,"Greenwood Heights, Sunset Park, Windsor Terrace"
Brooklyn CB 8,308,4.25,96076,22606,"Crown Heights, Prospect Heights, Weeksville"
Brooklyn CB 9,309,4.07,104014,25556,"Crown Heights, Prospect Lefferts Gardens, Wingate"
Brooklyn CB 10,310,10.57,122542,11593,"Bay Ridge, Dyker Heights, Fort Hamilton"
Brooklyn CB 11,311,10.18,172129,16909,"Bath Beach, Bensonhurst, Gravesend, Mapleton"
Brooklyn CB 12,312,9.32,185046,19855,"Borough Park, Kensington, Midwood, Ocean Parkway"
Brooklyn CB 13,313,8.88,106120,11950,"Bensonhurst, Brighton Beach, Coney Island, Gravesend, Sea Gate"
Brooklyn CB 14,314,7.61,168806,22182,"Flatbush, Kensington, Midwood, Ocean Parkway"
Brooklyn CB 15,315,12.82,160319,12505,"East Gravesend, Gerritsen Beach, Homecrest, Kings Bay, Kings Highway, Madison, Manhattan Beach, Plum Beach, Sheepshead Bay"
Brooklyn CB 16,316,4.97,85343,17172,"Brownsville, Ocean Hill"
Brooklyn CB 17,317,8.73,165753,18987,"Ditmas Village, East Flatbush, Erasmus, Farragut, Remsen Village, Rugby"
Brooklyn CB 18,318,24.68,194653,7887,"Bergen Beach, Canarsie, Flatlands, Georgetown, Marine Park, Mill Basin, Mill Island"
Queens CB 1,401,14.97,211220,14110,"Astoria, Ditmars, Garden Bay, Long Island City, Old Astoria, Queensbridge, Ravenswood, Steinway, Woodside"
Queens CB 2,402,13.36,109920,8228,"Hunters Point, Long Island City, Sunnyside, Woodside"
Queens CB 3,403,7.33,169083,23067,"East Elmhurst, Jackson Heights, North Corona"
Queens CB 4,404,6.16,167005,27111,"Corona, Elmhurst, Roosevelt Avenue"
Queens CB 5,405,19.63,165911,8452,"Fresh Pond, Glendale, Maspeth, Middle Village, Liberty Park, Ridgewood"
Queens CB 6,406,7.59,115967,15279,"Forest Hills, Rego Park"
Queens CB 7,407,32.97,242952,7369,"Bay Terrace, Beechhurst, College Point, Flushing, Linden Hill, Malba, Queensboro Hill, Whitestone, Willets Point"
Queens CB 8,408,19.17,146594,7647,"Briarwood, Cunningham Heights, Flushing South, Fresh Meadows, Hilltop Village, Holliswood, Jamaica Estates, Kew Gardens Hills, Pomonok Houses, Utopia"
Queens CB 9,409,10.08,141608,14048,"Kew Gardens, Ozone Park, Richmond Hill, Woodhaven"
Queens CB 10,410,16.19,127274,7861,"Howard Beach, Lindenwood, Richmond Hill, South Ozone Park, Tudor Village"
Queens CB 11,411,24.99,116404,4658,"Auburndale, Bayside, Douglaston, East Flushing, Hollis Hills, Little Neck, Oakland Gardens"
Queens CB 12,412,25.46,223602,8782,"Baisley Park, Jamaica, Hollis, Rochdale Village, St. Albans, South Jamaica, Springfield Gardens"
Queens CB 13,413,33.31,196284,5893,"Bellerose, Brookville, Cambria Heights, Floral Park, Glen Oaks, Laurelton, Meadowmere, New Hyde Park, Queens Village, Rosedale"
Queens CB 14,414,23.28,106686,4583,"Arverne, Bayswater, Belle Harbor, Breezy Point, Edgemere, Far Rockaway, Neponsit, Rockaway Park"
Staten Island CB 1,501,36.62,162609,4440,"Arlington, Castleton Corners, Clifton, Concord, Elm Park, Fort Wadsworth, Graniteville, Grymes Hill, Livingston, Mariners Harbor, Meiers Corners, New Brighton, Port Ivory, Port Richmond, Randall Manor, Rosebank, St. George, Shore Acres, Silver Lake, Stapleton, Sunnyside, Tompkinsville, West Brighton, Westerleigh"
Staten Island CB 2,502,54.62,127071,2326,"Arrochar, Bloomfield, Bulls Head, Chelsea, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, Midland Beach, New Dorp, New Springville, Oakwood, Ocean Breeze, Old Town, South Beach, Todt Hill, Travis"
Staten Island CB 3,503,58.97,152908,2593,"Annadale, Arden Heights, Bay Terrace, Charleston, Eltingville, Great Kills, Greenridge, Huguenot, Pleasant Plains, Prince's Bay, Richmond Valley, Rossville, Tottenville, Woodrow"
